[info] welcome to sbt 1.5.5 (Ubuntu Java 11.0.24)
[info] loading settings for project nucleusrv-build from metals.sbt,plugins.sbt ...
[info] loading project definition from /home/owais/nucleusrv/project
[info] loading settings for project root from build.sbt ...
[info] set current project to nucleusrv (in build file:/home/owais/nucleusrv/)
[info] TopTest:
checking
ClkCycle:         44, pc_rdata: 0000009c, pc_wdata: 000000a0, insn: 039d5793, mode: 3, rs1_addr: 26, rs1_rdata: 00000000, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         45, pc_rdata: 000000a0, pc_wdata: 000000a4, insn: 00fdedb3, mode: 3, rs1_addr: 27, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 27, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         46, pc_rdata: 000000a4, pc_wdata: 000000a8, insn: 007dde13, mode: 3, rs1_addr: 27, rs1_rdata: 00000000, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 28, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         47, pc_rdata: 000000a8, pc_wdata: 000000ac, insn: 039dd793, mode: 3, rs1_addr: 27, rs1_rdata: 00000000, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         48, pc_rdata: 000000ac, pc_wdata: 000000b0, insn: 00fe6e33, mode: 3, rs1_addr: 28, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 28, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         49, pc_rdata: 000000b0, pc_wdata: 000000b4, insn: 007e5e93, mode: 3, rs1_addr: 28, rs1_rdata: 00000000, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 29, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         50, pc_rdata: 000000b4, pc_wdata: 000000b8, insn: 039e5793, mode: 3, rs1_addr: 28, rs1_rdata: 00000000, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         51, pc_rdata: 000000b8, pc_wdata: 000000bc, insn: 00feeeb3, mode: 3, rs1_addr: 29, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 29, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         52, pc_rdata: 000000bc, pc_wdata: 000000c0, insn: 007edf13, mode: 3, rs1_addr: 29, rs1_rdata: 00000000, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 30, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         53, pc_rdata: 000000c0, pc_wdata: 000000c4, insn: 039ed793, mode: 3, rs1_addr: 29, rs1_rdata: 00000000, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         54, pc_rdata: 000000c4, pc_wdata: 000000c8, insn: 00ff6f33, mode: 3, rs1_addr: 30, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 30, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         55, pc_rdata: 000000c8, pc_wdata: 000000cc, insn: feedc0b7, mode: 3, rs1_addr: 27, rs1_rdata: 00000000, rs2_addr: 14, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         56, pc_rdata: 000000cc, pc_wdata: 000000d0, insn: ead08093, mode: 3, rs1_addr:  1, rs1_rdata: 00000000, rs2_addr: 13, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: fffffead, mem_addr: fffffead, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         57, pc_rdata: 000000d0, pc_wdata: 000000d4, insn: 00b09093, mode: 3, rs1_addr:  1, rs1_rdata: 00000000, rs2_addr: 11, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: fff56800, mem_addr: fff56800, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         58, pc_rdata: 000000d4, pc_wdata: 000000d8, insn: 7f708093, mode: 3, rs1_addr:  1, rs1_rdata: 00000000, rs2_addr: 23, rs2_rdata: 00007fff, rd_addr:  1, rd_wdata: fff56ff7, mem_addr: fff56ff7, mem_rdata: 00000000, mem_wdata: 00007fff
ClkCycle:         59, pc_rdata: 000000d8, pc_wdata: 000000dc, insn: 00b09093, mode: 3, rs1_addr:  1, rs1_rdata: fffffead, rs2_addr: 11, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: ab7fb800, mem_addr: ab7fb800, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         60, pc_rdata: 000000dc, pc_wdata: 000000e0, insn: 36f08093, mode: 3, rs1_addr:  1, rs1_rdata: fff56800, rs2_addr: 15, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: ab7fbb6f, mem_addr: ab7fbb6f, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         61, pc_rdata: 000000e0, pc_wdata: 000000e4, insn: 00a09093, mode: 3, rs1_addr:  1, rs1_rdata: fff56ff7, rs2_addr: 10, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: feedbc00, mem_addr: feedbc00, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         62, pc_rdata: 000000e4, pc_wdata: 000000e8, insn: 2ad08093, mode: 3, rs1_addr:  1, rs1_rdata: ab7fb800, rs2_addr: 13, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: feedbead, mem_addr: feedbead, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         63, pc_rdata: 000000e8, pc_wdata: 000000ec, insn: 0070d113, mode: 3, rs1_addr:  1, rs1_rdata: ab7fbb6f, rs2_addr:  7, rs2_rdata: 00000000, rd_addr:  2, rd_wdata: 5bfddb7d, mem_addr: 5bfddb7d, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         64, pc_rdata: 000000ec, pc_wdata: 000000f0, insn: 0390d793, mode: 3, rs1_addr:  1, rs1_rdata: feedbc00, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 0000007f, mem_addr: 0000007f, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         65, pc_rdata: 000000f0, pc_wdata: 000000f4, insn: 00f16133, mode: 3, rs1_addr:  2, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr:  2, rd_wdata: 5bfddb7f, mem_addr: 5bfddb7f, mem_rdata: 00000000, mem_wdata: 0000007f
ClkCycle:         66, pc_rdata: 000000f4, pc_wdata: 000000f8, insn: 00715193, mode: 3, rs1_addr:  2, rs1_rdata: 5bfddb7d, rs2_addr:  7, rs2_rdata: 00000000, rd_addr:  3, rd_wdata: fab7fbb6, mem_addr: fab7fbb6, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         67, pc_rdata: 000000f8, pc_wdata: 000000fc, insn: 03915793, mode: 3, rs1_addr:  2, rs1_rdata: 5bfddb7d, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         68, pc_rdata: 000000fc, pc_wdata: 00000100, insn: 00f1e1b3, mode: 3, rs1_addr:  3, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 0000007f, rd_addr:  3, rd_wdata: fab7fbb6, mem_addr: fab7fbb6, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         69, pc_rdata: 00000100, pc_wdata: 00000104, insn: 0071d213, mode: 3, rs1_addr:  3, rs1_rdata: fab7fbb6, rs2_addr:  7, rs2_rdata: 00000000, rd_addr:  4, rd_wdata: fff56ff7, mem_addr: fff56ff7, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         70, pc_rdata: 00000104, pc_wdata: 00000108, insn: 0391d793, mode: 3, rs1_addr:  3, rs1_rdata: fab7fbb6, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         71, pc_rdata: 00000108, pc_wdata: 0000010c, insn: 00f26233, mode: 3, rs1_addr:  4, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr:  4, rd_wdata: fff56ff7, mem_addr: fff56ff7, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         72, pc_rdata: 0000010c, pc_wdata: 00000110, insn: 00725293, mode: 3, rs1_addr:  4, rs1_rdata: fff56ff7, rs2_addr:  7, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: ffffeadf, mem_addr: ffffeadf, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         73, pc_rdata: 00000110, pc_wdata: 00000114, insn: 03925793, mode: 3, rs1_addr:  4, rs1_rdata: fff56ff7, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         74, pc_rdata: 00000114, pc_wdata: 00000118, insn: 00f2e2b3, mode: 3, rs1_addr:  5, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: ffffeadf, mem_addr: ffffeadf, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         75, pc_rdata: 00000118, pc_wdata: 0000011c, insn: 0072d313, mode: 3, rs1_addr:  5, rs1_rdata: ffffeadf, rs2_addr:  7, rs2_rdata: 00000000, rd_addr:  6, rd_wdata: 1fffffd5, mem_addr: 1fffffd5, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         76, pc_rdata: 0000011c, pc_wdata: 00000120, insn: 0392d793, mode: 3, rs1_addr:  5, rs1_rdata: ffffeadf, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         77, pc_rdata: 00000120, pc_wdata: 00000124, insn: 00f36333, mode: 3, rs1_addr:  6, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr:  6, rd_wdata: 1fffffd5, mem_addr: 1fffffd5, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         78, pc_rdata: 00000124, pc_wdata: 00000128, insn: 00735393, mode: 3, rs1_addr:  6, rs1_rdata: 1fffffd5, rs2_addr:  7, rs2_rdata: 00000000, rd_addr:  7, rd_wdata: 003fffff, mem_addr: 003fffff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         79, pc_rdata: 00000128, pc_wdata: 0000012c, insn: 03935793, mode: 3, rs1_addr:  6, rs1_rdata: 1fffffd5, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         80, pc_rdata: 0000012c, pc_wdata: 00000130, insn: 00f3e3b3, mode: 3, rs1_addr:  7, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr:  7, rd_wdata: 003fffff, mem_addr: 003fffff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         81, pc_rdata: 00000130, pc_wdata: 00000134, insn: 0073d413, mode: 3, rs1_addr:  7, rs1_rdata: 003fffff, rs2_addr:  7, rs2_rdata: 003fffff, rd_addr:  8, rd_wdata: 00007fff, mem_addr: 00007fff, mem_rdata: 00000000, mem_wdata: 003fffff
ClkCycle:         82, pc_rdata: 00000134, pc_wdata: 00000138, insn: 0393d793, mode: 3, rs1_addr:  7, rs1_rdata: 003fffff, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         83, pc_rdata: 00000138, pc_wdata: 0000013c, insn: 00f46433, mode: 3, rs1_addr:  8, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 00007fff, mem_addr: 00007fff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         84, pc_rdata: 0000013c, pc_wdata: 00000140, insn: 00745493, mode: 3, rs1_addr:  8, rs1_rdata: 00007fff, rs2_addr:  7, rs2_rdata: 003fffff, rd_addr:  9, rd_wdata: 000000ff, mem_addr: 000000ff, mem_rdata: 00000000, mem_wdata: 003fffff
ClkCycle:         85, pc_rdata: 00000140, pc_wdata: 00000144, insn: 03945793, mode: 3, rs1_addr:  8, rs1_rdata: 00007fff, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         86, pc_rdata: 00000144, pc_wdata: 00000148, insn: 00f4e4b3, mode: 3, rs1_addr:  9, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr:  9, rd_wdata: 000000ff, mem_addr: 000000ff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         87, pc_rdata: 00000148, pc_wdata: 0000014c, insn: 0074d513, mode: 3, rs1_addr:  9, rs1_rdata: 000000ff, rs2_addr:  7, rs2_rdata: 003fffff, rd_addr: 10, rd_wdata: 00000001, mem_addr: 00000001, mem_rdata: 00000000, mem_wdata: 003fffff
ClkCycle:         88, pc_rdata: 0000014c, pc_wdata: 00000150, insn: 0394d793, mode: 3, rs1_addr:  9, rs1_rdata: 000000ff, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         89, pc_rdata: 00000150, pc_wdata: 00000154, insn: 00f56533, mode: 3, rs1_addr: 10, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 10, rd_wdata: 00000001, mem_addr: 00000001, mem_rdata: 00000000, mem_wdata: 00000000
