ClkCycle:         76, pc_rdata: 0000011c, pc_wdata: 00000120, insn: 0392d793, mode: 3, rs1_addr:  5, rs1_rdata: ffffffffeedbeadf, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         77, pc_rdata: 00000120, pc_wdata: 00000124, insn: 00f36333, mode: 3, rs1_addr:  6, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr:  6, rd_wdata: 000000001fddb7d5, mem_addr: 1fddb7d5, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         78, pc_rdata: 00000124, pc_wdata: 00000128, insn: 00735393, mode: 3, rs1_addr:  6, rs1_rdata: 000000001fddb7d5, rs2_addr:  7, rs2_rdata: 0000000000000000, rd_addr:  7, rd_wdata: 00000000003fbb6f, mem_addr: 003fbb6f, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         79, pc_rdata: 00000128, pc_wdata: 0000012c, insn: 03935793, mode: 3, rs1_addr:  6, rs1_rdata: 000000001fddb7d5, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         80, pc_rdata: 0000012c, pc_wdata: 00000130, insn: 00f3e3b3, mode: 3, rs1_addr:  7, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr:  7, rd_wdata: 00000000003fbb6f, mem_addr: 003fbb6f, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         81, pc_rdata: 00000130, pc_wdata: 00000134, insn: 0073d413, mode: 3, rs1_addr:  7, rs1_rdata: 00000000003fbb6f, rs2_addr:  7, rs2_rdata: 00000000003fbb6f, rd_addr:  8, rd_wdata: 0000000000007f76, mem_addr: 00007f76, mem_rdata: 0000000000000000, mem_wdata: 00000000003fbb6f
ClkCycle:         82, pc_rdata: 00000134, pc_wdata: 00000138, insn: 0393d793, mode: 3, rs1_addr:  7, rs1_rdata: 00000000003fbb6f, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         83, pc_rdata: 00000138, pc_wdata: 0000013c, insn: 00f46433, mode: 3, rs1_addr:  8, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr:  8, rd_wdata: 0000000000007f76, mem_addr: 00007f76, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         84, pc_rdata: 0000013c, pc_wdata: 00000140, insn: 00745493, mode: 3, rs1_addr:  8, rs1_rdata: 0000000000007f76, rs2_addr:  7, rs2_rdata: 00000000003fbb6f, rd_addr:  9, rd_wdata: 00000000000000fe, mem_addr: 000000fe, mem_rdata: 0000000000000000, mem_wdata: 00000000003fbb6f
ClkCycle:         85, pc_rdata: 00000140, pc_wdata: 00000144, insn: 03945793, mode: 3, rs1_addr:  8, rs1_rdata: 0000000000007f76, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
